userId,eventId,rating
12346,1998,1
12347,26,24
12347,88,36
12347,131,6
12347,168,40
12347,207,12
12347,209,6
12347,275,10
12347,316,6
12347,320,12
12347,333,30
12347,381,10
12347,395,12
12347,460,24
12347,646,6
12347,680,12
12347,753,72
12347,789,48
12347,820,12
12347,909,48
12347,910,48
12347,1029,6
12347,1032,12
12347,1087,48
12347,1088,72
12347,1102,6
12347,1133,12
12347,1244,32
12347,1245,8
12347,1246,16
12347,1247,28
12347,1248,12
12347,1283,48
12347,1288,12
12347,1289,15
12347,1298,6
12347,1353,108
12347,1355,12
12347,1358,12
12347,1407,8
12347,1417,12
12347,1475,12
12347,1548,12
12347,1549,12
12347,1550,24
12347,1575,20
12347,1576,16
12347,1577,36
12347,1578,16
12347,1579,8
12347,1621,12
12347,1622,12
12347,1623,12
12347,1624,24
12347,1625,12
12347,1652,12
12347,1668,12
12347,1788,12
12347,1834,24
12347,1912,240
12347,1920,84
12347,1978,16
12347,1979,12
12347,1994,16
12347,2002,12
12347,2003,12
12347,2004,12
12347,2005,4
12347,2006,4
12347,2007,8
12347,2009,16
12347,2094,16
12347,2116,16
12347,2127,48
12347,2135,12
12347,2230,12
12347,2231,12
12347,2232,12
12347,2288,12
12347,2304,12
12347,2310,12
12347,2313,40
12347,2315,40
12347,2359,6
12347,2592,30
12347,2596,6
12347,2602,6
12347,2628,12
12347,2653,12
12347,2892,126
12347,2893,12
12347,2894,12
12347,2928,48
12347,2929,24
12347,3114,12
12347,3130,72
12347,3131,72
12347,3135,6
12347,3136,6
12347,3137,6
12347,3231,18
12347,3270,30
12347,3286,12
12347,3335,3
12348,423,72
12348,425,144
12348,750,48
12348,751,24
12348,905,144
12348,911,144
12348,912,144
12348,913,144
12348,914,144
12348,915,144
12348,917,144
12348,1303,20
12348,1470,72
12348,1794,72
12348,1795,144
12348,1912,72
12348,1913,200
12348,1914,192
12348,3127,48
12348,3130,144
12348,3131,72
12348,3664,9
12349,147,6
12349,263,6
12349,344,12
12349,376,16
12349,437,36
12349,438,36
12349,554,3
12349,626,6
12349,627,3
12349,629,6
12349,642,6
12349,643,6
12349,785,24
12349,959,12
12349,964,12
12349,970,6
12349,971,6
12349,1029,6
12349,1087,12
12349,1204,6
12349,1210,8
12349,1289,1
12349,1296,4
12349,1307,8
12349,1409,12
12349,1410,12
12349,1411,12
12349,1412,12
12349,1413,12
12349,1423,12
12349,1456,12
12349,1517,6
12349,1543,4
12349,1555,25
12349,1571,3
12349,1573,4
12349,1679,2
12349,1802,6
12349,1860,1
12349,1940,2
12349,1944,2
12349,1945,3
12349,2029,12
12349,2067,6
12349,2071,6
12349,2082,4
12349,2086,12
12349,2096,12
12349,2102,2
12349,2112,8
12349,2113,8
12349,2114,8
12349,2115,8
12349,2249,12
12349,2268,2
12349,2300,10
12349,2301,3
12349,2304,12
12349,2321,6
12349,2352,25
12349,2484,12
12349,2503,12
12349,2527,12
12349,2588,12
12349,2621,6
12349,2622,4
12349,2625,2
12349,2805,1
12349,3121,12
12349,3140,3
12349,3141,3
12349,3195,6
12349,3664,1
12350,114,12
12350,120,12
12350,395,12
12350,820,12
12350,833,12
12350,835,12
12350,872,12
12350,878,12
12350,1224,24
12350,1278,12
12350,1408,12
12350,1413,12
12350,1474,12
12350,2728,10
12350,2745,12
12350,2807,6
12350,3664,1
12352,438,12
12352,486,8
12352,532,6
