signup_date,day_1_retention
2024-05-01,0.3333333333333333
2024-05-02,0.42857142857142855
2024-05-03,0.75
2024-05-04,0.4
2024-05-05,0.5
2024-05-06,0.5833333333333334
2024-05-07,0.5833333333333334
2024-05-08,0.6
2024-05-09,0.6
2024-05-10,0.8
2024-05-11,0.3333333333333333
2024-05-12,0.5
2024-05-13,0.4444444444444444
2024-05-14,0.42857142857142855
2024-05-15,0.5714285714285714
2024-05-16,0.7777777777777778
2024-05-17,0.6428571428571429
2024-05-18,0.6153846153846154
2024-05-19,0.5833333333333334
2024-05-20,0.7
2024-05-21,0.5
2024-05-22,0.4444444444444444
2024-05-23,0.5
2024-05-24,0.6923076923076923
2024-05-25,0.8
2024-05-26,0.5882352941176471
2024-05-27,0.6153846153846154
2024-05-28,0.46153846153846156
2024-05-29,0.875
2024-05-30,0.3333333333333333
2024-05-31,0.0
